2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:53:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:57		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:57		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:57		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:57		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:57		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/17:47:58		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
